name,1,2,3,4,5,6,7,8,9,10
FCNGN4CC_1032_C,0,0,0,0,0,0,0,0,0,0
FCNGN4CC_1032_G,0,0,0,0,0,0,0,0,0,0
SJUAN_1034_C,0,0,0,0,0,0,0,0,0,0
SJUAN_1034_G,0,0,0,0,0,0,0,0,0,0
SJUAN_1034_H,559.60000000000002,419.80000000000001,280.0,280.0,280.0,280.0,419.80000000000001,526.70066589999999,517.18743010000003,656.98743009999998
CORONADO_1131_C,0,0,0,0,0,0,0,0,0,0
CORONADO_1131_G,0,0,0,0,0,0,0,0,0,0
CORONADO_1131_W,187.80000000000001,192.80000000000001,201.19999999999999,191.40000000000001,197.19999999999999,217.69999999999999,222.40000000000001,220.90000000000001,223.09999999999999,206.80000000000001
NAVAJO_1232_C,0,0,0,0,0,0,0,0,0,0
NAVAJO_1232_H,836.34825960000001,962.34825960000012,903.54568460000007,777.54568459999996,651.54568459999996,525.54568459999996,399.54568460000002,273.54568460000002,251.0,251.0
HOOVER_1331_G,0,0,0,0,0,0,0,0,0,0
HOOVER_1331_H,732.20000000000005,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0
H_ALLEN_1333_C,0,0,0,0,0,0,0,0,0,0
H_ALLEN_1333_G,0,0,0,0,0,0,0,0,0,0
H_ALLEN_1333_R,0,0,0,0,0,0,0,0,0,0
PALOVRD2_1431_G,0,0,0,0,0,0,0,0,0,0
PALOVRD2_1431_N,0,0,0,0,0,0,0,0,0,0
PALOVRD2_1431_R,0,0,0,0,0,0,0,0,0,0
MEXICO_2030_G,0,0,0,0,0,0,0,0,0,0
MEXICO_2030_E,0,0,0,0,0,0,0,0,0,0
IMPERIAL_2130_G,0,0,0,0,0,0,0,0,0,0
IMPERIAL_2130_E,0,0,0,0,0,0,0,0,0,0
IMPERIAL_2130_H,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.40000000000001,187.2068573
IMPERIAL_2130_R,0,0,0,0,0,0,0,0,0,0
MISSION_2233_DG,0,0,0,0,0,0,0,0,0,0
MISSION_2233_EG,0,0,0,0,0,0,0,0,0,0
MISSION_2233_TG,0,0,0,0,0,0,0,0,0,0
IMPRLVLY_2332_AG,0,0,0,0,0,0,0,0,0,0
MESA_CAL_2438_EG,0,0,0,0,0,0,0,0,0,0
MESA_CAL_2438_ND,535.552,570.368,577.5360000000001,573.44,574.464,573.952,581.12,583.168,583.68,572.928
MESA_CAL_2438_RG,0,0,0,0,0,0,0,0,0,0
MESA_CAL_2438_SG,0,0,0,0,0,0,0,0,0,0
MESA_CAL_2438_SH,272.13552620000002,268.0,268.0,268.0,268.0,268.0,268.0,268.0,401.80000000000001,387.12813060000002
MESA_CAL_2438_SR,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995,756.79999999999995
MESA_CAL_2438_SW,954.10000000000002,904.79999999999995,1046.8,1104.5,1025.4000000000001,738.20000000000005,408.60000000000002,359.0,643.39999999999998,997.29999999999995
MESA_CAL_2438_WG,0,0,0,0,0,0,0,0,0,0
ONOFRE_2533_SN,0,0,0,0,0,0,0,0,0,0
HAYNES3G_2630_G,0,0,0,0,0,0,0,0,0,0
OLIVE_2631_G,0,0,0,0,0,0,0,0,0,0
INTERM1G_2634_C,0,0,0,0,0,0,0,0,0,0
OWENS_G_2637_H,32.799999999999997,22.0,22.0,22.0,22.0,22.0,22.0,22.0,32.799999999999997,43.600000000000001
CASTAI4G_2638_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANMATEO_3133_NG,0,0,0,0,0,0,0,0,0,0
SANMATEO_3133_SC,0,0,0,0,0,0,0,0,0,0
POTRERO_3135_MG,0,0,0,0,0,0,0,0,0,0
POTRERO_3135_NG,0,0,0,0,0,0,0,0,0,0
PITSBURG_3234_DG,0,0,0,0,0,0,0,0,0,0
PITSBURG_3234_MG,0,0,0,0,0,0,0,0,0,0
PITSBURG_3234_NG,0,0,0,0,0,0,0,0,0,0
PITSBURG_3234_NW,110.0,95.799999999999997,38.299999999999997,149.19999999999999,251.19999999999999,192.80000000000001,421.5,424.10000000000002,454.5,550.89999999999998
METCALF_3333_CG,0,0,0,0,0,0,0,0,0,0
METCALF_3333_NG,0,0,0,0,0,0,0,0,0,0
HELMS_3432_NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC_CALL_3433_NG,0,0,0,0,0,0,0,0,0,0
MC_CALL_3433_NH,604.79999999999995,403.19999999999999,403.19999999999999,403.19999999999999,403.19999999999999,403.19999999999999,419.58952180000006,621.18952179999997,822.78952179999999,1024.3895220000002
FULTON_3531_CE,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998,694.39999999999998
FULTON_3531_NE,260,260,260,260,260,260,260,260,260,260
FULTON_3531_NH,6.0,9.0,12.0,15.0,15.0,12.0,9.0,6.0,6.0,6.0
HUMBOLT_3631_NB,38.0,38.0,38.0,38.0,38.0,48.0,48.0,48.0,48.0,50.200000000000003
HUMBOLT_3631_NG,0,0,0,0,0,0,0,0,0,0
SUMMIT_3731_NH,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
DIABLO1_3831_NN,0,0,0,0,0,0,0,0,0,0
MIDWAY_3835_NG,0,0,0,0,0,0,0,0,0,0
MIDWAY_3835_ND,271,289,293,291,291,291,295,296,296,290
MORROBAY_3836_DG,0,0,0,0,0,0,0,0,0,0
ROUND_MT_3931_NB,225.0,225.0,225.0,225.0,225.0,284.30000000000001,284.30000000000001,284.30000000000001,284.30000000000001,297.10000000000002
ROUND_MT_3931_NH,1650.81747,1848.338068,1478.7380679999999,1209.204379,1578.8043789999999,1209.204379,1277.7932949999999,1379.3005269999999,1612.9135220000001,1834.8537649999998
MOSSLAND_3932_DG,0,0,0,0,0,0,0,0,0,0
TESLA_3933_CG,0,0,0,0,0,0,0,0,0,0
TESLA_3933_NB,136.90000000000001,136.90000000000001,136.90000000000001,136.90000000000001,136.90000000000001,172.90000000000001,172.90000000000001,172.90000000000001,172.90000000000001,180.69999999999999
TESLA_3933_ND,238.488,253.99200000000002,257.184,255.36,255.81600000000003,255.588,258.78,259.692,259.92,255.132
TESLA_3933_NG,0,0,0,0,0,0,0,0,0,0
TESLA_3933_NH,701.0,701.0,1051.4000000000001,1401.8,1401.8,1051.4000000000001,701.0,701.0,701.0,701.0
TESLA_3933_NW,46.700000000000003,40.700000000000003,16.300000000000001,63.299999999999997,106.7,81.900000000000006,179.0,180.09999999999999,193.0,233.90000000000001
MALIN_4031_G,0,0,0,0,0,0,0,0,0,0
MALIN_4031_H,489.39999999999998,587.20000000000005,685.0,782.79999999999995,685.0,587.20000000000005,489.39999999999998,391.60000000000002,293.80000000000001,196.0
MALIN_4031_R,0,0,0,0,0,0,0,0,0,0
MALIN_4031_W,237.5,232.0,221.5,214.80000000000001,223.0,222.90000000000001,225.19999999999999,229.30000000000001,234.90000000000001,234.0
JOHN_DAY_4035_C,0,0,0,0,0,0,0,0,0,0
JOHN_DAY_4035_G,0,0,0,0,0,0,0,0,0,0
JOHN_DAY_4035_H,1851.8322760000001,2219.0322760000004,2586.2322760000002,2219.0322760000004,2443.2699259999999,2810.4699260000002,2443.2699259999999,2076.0699260000001,1708.8699260000001,1341.669926
JOHN_DAY_4035_W,526.79999999999995,608.60000000000002,647.20000000000005,795.70000000000005,714.60000000000002,791.10000000000002,666.70000000000005,690.0,574.39999999999998,427.10000000000002
DALLES21_4039_G,0,0,0,0,0,0,0,0,0,0
DALLES21_4039_H,584.0,876.20000000000005,1168.4000000000001,900.13765879999994,1192.337659,1484.5376590000001,1192.337659,900.13765879999994,607.93765880000001,584.0
DALLES21_4039_W,258.10000000000002,265.80000000000001,273.19999999999999,281.80000000000001,292.80000000000001,285.69999999999999,279.69999999999999,276.19999999999999,258.39999999999998,240.80000000000001
COULEE_4131_H,5185.0,3889.0,2593.0,2593.0,2593.0,2593.0,3889.0,5185.0,6481.0,7777.0
COULEE_4131_W,84.5,73.599999999999994,112.90000000000001,151.30000000000001,151.90000000000001,127.8,105.8,79.400000000000006,62.899999999999999,65.200000000000003
HANFORD_4132_G,0,0,0,0,0,0,0,0,0,0
HANFORD_4132_H,2276.5999999999999,1707.8,1139.0,1139.0,1139.0,1139.0,1707.8,2276.5999999999999,2092.1335129999998,2660.9335129999999
HANFORD_4132_N,0,0,0,0,0,0,0,0,0,0
HANFORD_4132_R,0,0,0,0,0,0,0,0,0,0
HANFORD_4132_W,30.699999999999999,39.399999999999999,53.0,64.599999999999994,82.799999999999997,111.8,113.0,113.59999999999999,129.0,116.40000000000001
NORTH_G3_4231_C,0,0,0,0,0,0,0,0,0,0
NORTH_G3_4231_G,0,0,0,0,0,0,0,0,0,0
NORTH_G3_4231_H,723.0,1084.8,723.0,723.0,723.0,1084.8,1446.5999999999999,1808.4000000000001,2170.1999999999998,2532.0
NORTH_G3_4231_R,0,0,0,0,0,0,0,0,0,0
WCASCADE_4232_G,0,0,0,0,0,0,0,0,0,0
WCASCADE_4232_H,115.0,172.0,229.0,221.7409605,218.49600989999999,275.49600989999999,218.49600989999999,161.49600990000002,115.0,115.0
WCASCADE_4232_W,122.5,109.7,86.700000000000003,148.69999999999999,174.69999999999999,193.90000000000001,189.09999999999999,185.09999999999999,171.40000000000001,168.40000000000001
CANAD_G1_5031_G,0,0,0,0,0,0,0,0,0,0
CANAD_G1_5031_H,3449.4335149999997,3369.4565259999999,3030.1837690000002,2921.199756,2884.4266720000001,3320.9091480000002,3455.6651020000004,2705.9977859999999,3000.6885899999997,2625.325096
CMAIN_GM_5032_C,0,0,0,0,0,0,0,0,0,0
CMAIN_GM_5032_G,0,0,0,0,0,0,0,0,0,0
CMAIN_GM_5032_H,2302.7375950000001,1861.7375949999998,1420.7375949999998,1210.1216079999999,1156.4946910000001,1083.240583,1524.240583,1965.2405829999998,2406.2405829999998,2847.2405829999998
CMAIN_GM_5032_R,0,0,0,0,0,0,0,0,0,0
CMAIN_GM_5032_W,203.0,193.40000000000001,205.09999999999999,253.69999999999999,273.10000000000002,288.39999999999998,284.5,310.0,321.60000000000002,328.39999999999998
MIDPOINT_6132_C,0,0,0,0,0,0,0,0,0,0
MIDPOINT_6132_G,0,0,0,0,0,0,0,0,0,0
MIDPOINT_6132_H,1071.5999999999999,857.39999999999998,643.20000000000005,429.0,643.20000000000005,857.39999999999998,1071.5999999999999,1285.8,1500.0,1714.2
MIDPOINT_6132_R,0,0,0,0,0,0,0,0,0,0
MIDPOINT_6132_W,129.80000000000001,65.900000000000006,80.400000000000006,160.5,189.59999999999999,223.19999999999999,235.09999999999999,235.59999999999999,235.5,235.80000000000001
COLSTRP_6231_C,0,0,0,0,0,0,0,0,0,0
COLSTRP_6231_G,0,0,0,0,0,0,0,0,0,0
MONTA_G1_6235_G,0,0,0,0,0,0,0,0,0,0
MONTA_G1_6235_H,277.0,208.0,139.0,139.0,139.0,139.0,208.0,277.0,346.0,415.0
MONTA_G1_6235_W,12.1,7.0,3.6000000000000001,2.7000000000000002,4.2000000000000002,7.5999999999999996,15.199999999999999,30.399999999999999,37.200000000000003,53.100000000000001
BRIDGER2_6333_C,0,0,0,0,0,0,0,0,0,0
BRIDGER2_6333_W,239.5,238.59999999999999,237.30000000000001,231.09999999999999,222.90000000000001,222.40000000000001,198.5,209.09999999999999,167.19999999999999,158.5
NAUGHT_6335_C,0,0,0,0,0,0,0,0,0,0
NAUGHT_6335_G,0,0,0,0,0,0,0,0,0,0
NAUGHT_6335_H,292.63593989999998,211.63593990000001,162.0,162.0,162.0,162.0,243.0,192.83720510000001,273.83720510000006,354.83720510000006
VALMY_6433_C,0,0,0,0,0,0,0,0,0,0
VALMY_6433_E,0,0,0,0,0,0,0,0,0,0
VALMY_6433_G,0,0,0,0,0,0,0,0,0,0
VALMY_6433_R,0,0,0,0,0,0,0,0,0,0
VALMY_6433_W,35.200000000000003,29.300000000000001,29.300000000000001,33.0,35.899999999999999,34.299999999999997,34.700000000000003,20.5,11.0,1.6000000000000001
EMERY_6533_C,0,0,0,0,0,0,0,0,0,0
EMERY_6533_E,0,0,0,0,0,0,0,0,0,0
EMERY_6533_G,0,0,0,0,0,0,0,0,0,0
EMERY_6533_H,20.600000000000001,16.399999999999999,12.199999999999999,8.0,12.199999999999999,16.399999999999999,20.600000000000001,24.800000000000001,29.0,33.200000000000003
EMERY_6533_R,0,0,0,0,0,0,0,0,0,0
COLOEAST_7031_C,0,0,0,0,0,0,0,0,0,0
COLOEAST_7031_G,0,0,0,0,0,0,0,0,0,0
COLOEAST_7031_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLOEAST_7031_SC,0,0,0,0,0,0,0,0,0,0
COLOEAST_7031_W,380.19999999999999,407.30000000000001,399.69999999999999,357.60000000000002,420.5,471.5,504.69999999999999,504.5,539.5,405.60000000000002
CRAIG_7032_C,0,0,0,0,0,0,0,0,0,0
CRAIG_7032_G,0,0,0,0,0,0,0,0,0,0
CRAIG_7032_H,207.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
CRAIG_7032_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTWDWAP_8033_H,628.39999999999998,471.19999999999999,314.0,314.0,314.0,314.0,471.19999999999999,628.39999999999998,785.60000000000002,942.79999999999995
RNCHSECO_8034_G,0,0,0,0,0,0,0,0,0,0
RNCHSECO_8034_H,274.00645420000001,205.00645419999998,138.0,138.0,138.0,138.0,207.0,276.0,345.0,414.0
